smiles	zinc_id	inchikey	mwt	logp	reactive	purchasable	tranche_name	features
CCCCCC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1O	ZINC000038852799	HXYXZDBHBFMFTN-RGHQJQCBSA-N	277.317	-1.517	0	50	CAAA	
OCC(CO)(CO)COCOCC(CO)(CO)CO	ZINC000039257436	VQRQSFLPGGRPFF-UHFFFAOYSA-N	284.305	-3.096	0	50	CAAA	
O=C(O)CN(CCN1C(=O)C=CC1=O)CC(=O)O	ZINC000039351117	YXZKLBWQSVZIDK-UHFFFAOYSA-N	256.214	-1.617	0	50	CAAA	
COC(=O)CCN(S(C)(=O)=O)S(C)(=O)=O	ZINC000039404119	IRMZNRNJUUFUIQ-UHFFFAOYSA-N	259.305	-1.229	0	50	CAAA	
O=S(=O)(O)CCOCCOCCOCCO	ZINC000039591801	PWODSFSRWAVESG-UHFFFAOYSA-N	258.292	-1.084	0	50	CAAA	
CCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1NC(C)=O	ZINC000039715738	ZQKFRTNUONNUBH-ISUQUUIWSA-N	263.290	-1.643	0	50	CAAA	in-vitro
CCOC(=O)N[C@H]1[C@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O	ZINC000039947801	DHPQQSJQCFYLFI-FMDGEEDCSA-N	251.235	-2.468	0	50	CAAA	
COc1ccc(NC(=O)C(=O)NCCNCCO)cn1	ZINC000040282930	UTYHOBJGFHHCRP-UHFFFAOYSA-N	282.300	-1.273	0	50	CAAA	
Cc1nn(C)c(C)c1NC(=O)C(=O)NCCNCCO	ZINC000040287498	XYRINDYNEPBROJ-UHFFFAOYSA-N	283.332	-1.326	0	50	CAAA	
CNC(=O)c1nc(CC(=O)N2CCOCC2)no1	ZINC000040288285	LIXYWHIOHOYQAZ-UHFFFAOYSA-N	254.246	-1.170	0	50	CAAA	
C[C@@]1(F)[C@H](O)[C@@H](CO)O[C@H]1n1ccc(=O)[nH]c1=O	ZINC000040380308	ARKKGZQTGXJVKW-VPCXQMTMSA-N	260.221	-1.485	0	50	CAAA	in-vitro
COCCCN1CN=C(NS(C)(=O)=O)NC1	ZINC000040387198	WQKVWYCWHUSNRI-UHFFFAOYSA-N	250.324	-1.252	0	50	CAAA	
CC(C)(CO)N1CN=C(NS(C)(=O)=O)NC1	ZINC000040387216	UMNWSZDPOBGCMK-UHFFFAOYSA-N	250.324	-1.517	0	50	CAAA	
CN(C)CCCN1CN=C(NS(C)(=O)=O)NC1	ZINC000040387226	SQMTYSZOKMXTFO-UHFFFAOYSA-N	263.367	-1.337	0	50	CAAA	
CS(=O)(=O)NC1=NCN(C[C@@H]2CCCO2)CN1	ZINC000040387256	LOBZSXNGBVTCMH-QMMMGPOBSA-N	262.335	-1.109	0	50	CAAA	
CS(=O)(=O)NC1=NCN(C[C@H]2CCCO2)CN1	ZINC000040387258	LOBZSXNGBVTCMH-MRVPVSSYSA-N	262.335	-1.109	0	50	CAAA	
CS(=O)(=O)NC1=NCN(CCN2CCOCC2)CN1	ZINC000040387260	AKDUOMAVRHQKQX-UHFFFAOYSA-N	291.377	-1.956	0	50	CAAA	
CC(C)S(=O)(=O)NC1=NCN(CCO)CN1	ZINC000040387292	QXXNYOFQNMYQQJ-UHFFFAOYSA-N	250.324	-1.517	0	50	CAAA	
Nc1ncc2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1	ZINC000040442819	JVOJULURLCZUDE-JXOAFFINSA-N	267.245	-1.980	0	50	CAAA	
Cc1cc(C)n(-c2nnc(NC(CO)(CO)CO)nn2)n1	ZINC000040457306	CBQGCPDUZWSTAO-UHFFFAOYSA-N	295.303	-1.803	0	50	CAAA	
